WKT
"LINESTRING (531144.697361754 184137.115657945,531151.737055879 184101.066788484)"
"LINESTRING (531093.983837147 184088.369272308,531151.737055879 184101.066788484)"
"LINESTRING (531057.401263579 184118.265086617,531070.516498297 184032.051187535)"
"LINESTRING (530921.855320154 184029.085378495,531070.516498297 184032.051187535)"
"LINESTRING (531070.516498297 184032.051187535,531201.382822199 184011.290524253)"
"LINESTRING (531282.101437433 184085.298467893,531288.503272932 184036.901954658)"
"LINESTRING (531268.889814432 184011.890296571,531288.503272932 184036.901954658)"
"LINESTRING (531288.503272932 184036.901954658,531319.093070593 184017.468436144)"
"LINESTRING (531268.889814432 184011.890296571,531274.647893992 183974.282839447)"
"LINESTRING (531274.647893992 183974.282839447,531303.978111749 183949.27118136)"
"LINESTRING (531303.978111749 183949.27118136,531325.570910097 183981.660378883)"
"LINESTRING (531319.093070593 184017.468436144,531325.570910097 183981.660378883)"
"LINESTRING (530810.256885013 183814.54770114,530912.08515963 183815.09800831)"
"LINESTRING (531142.72810895 184339.942561426,531381.942953415 184418.513506298)"
"LINESTRING (530907.934553283 183673.031878927,530944.107411146 183667.864327803)"
